#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,sensor,status
,,0,2026-06-09T11:49:07.42465376Z,2026-06-09T12:49:07.42465376Z,2026-06-09T12:40:30Z,906.8315,value,boiler_sensors,BOILER_001,feedwater_flow,CRITICAL
,,0,2026-06-09T11:49:07.42465376Z,2026-06-09T12:49:07.42465376Z,2026-06-09T12:40:40Z,904.7548462,value,boiler_sensors,BOILER_001,feedwater_flow,CRITICAL
,,0,2026-06-09T11:49:07.42465376Z,2026-06-09T12:49:07.42465376Z,2026-06-09T12:44:50Z,450,value,boiler_sensors,BOILER_001,feedwater_flow,CRITICAL
,,0,2026-06-09T11:49:07.42465376Z,2026-06-09T12:49:07.42465376Z,2026-06-09T12:45:00Z,531.0805294,value,boiler_sensors,BOILER_001,feedwater_flow,CRITICAL
,,0,2026-06-09T11:49:07.42465376Z,2026-06-09T12:49:07.42465376Z,2026-06-09T12:45:10Z,905.6562105,value,boiler_sensors,BOILER_001,feedwater_flow,CRITICAL
,,0,2026-06-09T11:49:07.42465376Z,2026-06-09T12:49:07.42465376Z,2026-06-09T12:45:20Z,910.3094444,value,boiler_sensors,BOILER_001,feedwater_flow,CRITICAL
,,0,2026-06-09T11:49:07.42465376Z,2026-06-09T12:49:07.42465376Z,2026-06-09T12:45:30Z,902.4631667,value,boiler_sensors,BOILER_001,feedwater_flow,CRITICAL
,,0,2026-06-09T11:49:07.42465376Z,2026-06-09T12:49:07.42465376Z,2026-06-09T12:45:40Z,896.34225,value,boiler_sensors,BOILER_001,feedwater_flow,CRITICAL
,,0,2026-06-09T11:49:07.42465376Z,2026-06-09T12:49:07.42465376Z,2026-06-09T12:45:50Z,894.2447,value,boiler_sensors,BOILER_001,feedwater_flow,CRITICAL
,,0,2026-06-09T11:49:07.42465376Z,2026-06-09T12:49:07.42465376Z,2026-06-09T12:46:00Z,450,value,boiler_sensors,BOILER_001,feedwater_flow,CRITICAL
